shape1,shape2,iou,clip,color,edge,hash
Alabama,Afghanistan,0.639855,0.639855,0.846819,0.101027,0.53125
Aland,Afghanistan,0.634806,0.634806,0.564703,0.051531,0.53125
Alaska,Afghanistan,0.616156,0.616156,0.341865,0.03052,0.53125
Albania,Afghanistan,0.646634,0.646634,0.443554,0.182523,0.5
American Samoa,Afghanistan,0.656316,0.656316,0.832273,0.046301,0.625
Andorra,Afghanistan,0.591128,0.591128,0.559683,0.310164,0.6875
Angola,Afghanistan,0.662238,0.662238,0.799025,0.125363,0.59375
Antigua and Barbuda,Afghanistan,0.67712,0.67712,0.759983,0.060998,0.5
Argentina,Afghanistan,0.661456,0.661456,0.716101,0.156022,0.40625
Arizona,Afghanistan,0.558873,0.558873,0.457561,0.079511,0.53125
Arkansas,Afghanistan,0.542703,0.542703,0.634194,0.130808,0.59375
Armenia,Afghanistan,0.659656,0.659656,0.774715,0.021495,0.515625
Aruba,Afghanistan,0.653823,0.653823,0.444981,0.090668,0.53125
Australia,Afghanistan,0.613105,0.613105,0.741767,0.05785,0.46875
Austria,Afghanistan,0.656437,0.656437,0.693172,0.108478,0.5
Azerbaijan,Afghanistan,0.682067,0.682067,0.781003,0.112575,0.59375
Bahrain,Afghanistan,0.684475,0.684475,0.738225,0.026499,0.453125
Bangladesh,Afghanistan,0.743147,0.743147,0.56541,0.015148,0.59375
Belarus,Afghanistan,0.773346,0.773346,0.741456,0.010564,0.5
Belgium,Afghanistan,0.636148,0.636148,0.638728,0.314512,0.65625
Benin,Afghanistan,0.682218,0.682218,0.579943,0.066297,0.5
Bermuda,Afghanistan,0.618282,0.618282,0.757333,0.060485,0.375
Bolivia,Afghanistan,0.683635,0.683635,0.558129,0.070037,0.5
Brazil,Afghanistan,0.54177,0.54177,0.001866,0.121425,0.15625
British Indian Ocean Territory,Afghanistan,0.543564,0.543564,0.865748,0.099316,0.59375
Bulgaria,Afghanistan,0.764409,0.764409,0.808918,0.008178,0.5
Burkina Faso,Afghanistan,0.697385,0.697385,0.521727,0.197033,0.71875
Burundi,Afghanistan,0.710845,0.710845,0.814406,0.061012,0.5625
Cabo Verde,Afghanistan,0.626584,0.626584,0.674235,0.125695,0.5
Cambodia,Afghanistan,0.603396,0.603396,0.637836,0.361141,0.5625
Cameroon,Afghanistan,0.65807,0.65807,0.583834,0.351991,0.84375
Canada,Afghanistan,0.577766,0.577766,0.926205,0.100376,0.4375
Cayman Islands,Afghanistan,0.631298,0.631298,0.741929,0.052145,0.3125
Central African Republic,Afghanistan,0.672802,0.672802,0.779326,0.103894,0.53125
Chile,Afghanistan,0.678499,0.678499,0.758468,0.200073,0.53125
China,Afghanistan,0.642469,0.642469,0.406731,0.10997,0.5
Colombia,Afghanistan,0.651537,0.651537,0.5622,0.156984,0.484375
Colorado,Afghanistan,0.547561,0.547561,0.680856,0.071379,0.59375
Comoros,Afghanistan,0.7132,0.7132,0.807186,0.031534,0.375
Connecticut,Afghanistan,0.639804,0.639804,0.464797,0.183485,0.5625
Cook Islands,Afghanistan,0.614031,0.614031,0.733734,0.086707,0.4375
Croatia,Afghanistan,0.503204,0.503204,0.908121,0.243315,0.59375
Cuba,Afghanistan,0.648156,0.648156,0.828417,0.085964,0.53125
Curaao,Afghanistan,0.685744,0.685744,0.451675,0.016581,0.59375
Cyprus,Afghanistan,0.661164,0.661164,0.891968,0.103352,0.53125
Czechia,Afghanistan,0.637914,0.637914,0.793277,0.116382,0.53125
Delaware,Afghanistan,0.594715,0.594715,0.495682,0.282616,0.5
Democratic Republic of the Congo,Afghanistan,0.672493,0.672493,0.37385,0.056852,0.46875
Denmark,Afghanistan,0.614004,0.614004,0.518633,0.027411,0.5
District of Columbia,Afghanistan,0.59419,0.59419,0.865265,0.06174,0.5
Djibouti,Afghanistan,0.728774,0.728774,0.748291,0.043006,0.53125
East Timor,Afghanistan,0.728341,0.728341,0.748507,0.029082,0.625
